faculty_code,department_code,discipline_code_suggested,discipline_title,training_center_number,source_sheets,check_ok,review_comment
ГФ,БП,BP-001,Аэрологическая безопасность,2,2021-2022,,
ГФ,БП,BP-002,Аэрология горных предприятий,2,2021-2022,,
ГФ,БП,BP-003,Аэрология горных предприятий (карьеров),2,2021-2022,,
ГФ,БП,BP-004,Аэрология подземных сооружений,2,2021-2022,,
ГФ,БП,BP-005,Безопасность в нефтегазовой промышленности,2,2021-2022,,
ГФ,БП,BP-006,Безопасность ведения горных работ и горноспасательное дело,2,2021-2022,,
ГФ,БП,BP-007,Безопасность жизнедеятельности,2,2021-2022,,
ГФ,БП,BP-008,Гидравлика и теплотехника,2,2021-2022,,
ГФ,БП,BP-009,Гидрогазодинамика,2,2023-2024 уч.год,,
ГФ,БП,BP-010,Гидромеханика,2,2022-2023 весна,,
ГФ,БП,BP-011,Документационное обеспечение безопасности [выбранные дисциплины] 18 чел.,2,2023-2024 уч.год,,
ГФ,БП,BP-012,Документационное обеспечение безопасности [выбранные дисциплины] 20 чел.,2,2021-2022,,
ГФ,БП,BP-013,Защита в чрезвычайных ситуациях [выбранные дисциплины] 17 чел.,2,2022-2023 весна,,
ГФ,БП,BP-014,Защита в чрезвычайных ситуациях [выбранные дисциплины] 19 чел.,2,2021-2022,,
ГФ,БП,BP-015,Методы и средства контроля производственной среды [выбранные дисциплины] 6 чел.,2,2021-2022,,
ГФ,БП,BP-016,Моделирование процессов горного производства [выбранные дисциплины] 6 чел.,2,2021-2022,,
ГФ,БП,BP-017,Наименование учебной дисциплины,2,2021-2022,,
ГФ,БП,BP-018,Организация реанимационно-противошоковых мероприятий,2,2021-2022,,
ГФ,БП,BP-019,Основы организации экспериментальных исследований,2,2021-2022,,
ГФ,БП,BP-020,Пожарная безопасность открытых горных работ и поверхностного комплекса,2,2021-2022,,
ГФ,БП,BP-021,Пожарная безопасность подземных горных работ,2,2021-2022,,
ГФ,БП,BP-022,Производственная и пожарная безопасность,2,2021-2022,,
ГФ,БП,BP-023,Производственная санитария и гигиена труда,2,2021-2022,,
ГФ,БП,BP-024,Промышленная безопасность,2,2023-2024 уч.год,,
ГФ,БП,BP-025,Промышленная вентиляция,2,2021-2022,,
ГФ,БП,BP-026,Теплотехника,2,2021-2022,,
ГФ,БП,BP-027,Теплофизика,2,2021-2022,,
