faculty_code,group_name,student_count_suggested,course_suggested,source_sheets,check_ok,review_comment
ГФ,АГС-18,22,4,2021-2022,,
ГФ,АГС-20-1,23,4,2023-2024 уч.год,,
ГФ,АГС-20-2,23,4,2023-2024 уч.год,,
ГФ,АПГ-18,16,4,2021-2022,,
ГФ,АПГ-20,16,4,2023-2024 уч.год,,
ГФ,АПМ-18,15,4,2021-2022,,
ГФ,АПМ-20,11,4,2023-2024 уч.год,,
ГФ,АПН-18,13,4,2021-2022,,
ГФ,АПН-20,18,4,2023-2024 уч.год,,
ГФ,БТБ-18,20,4,2021-2022,,
ГФ,БТБ-19,24,3,2021-2022,,
ГФ,БТБ-20,25,4,2021-2022,,
ГФ,БТБ-21,30,3,2023-2024 уч.год,,
ГФ,БТМ-20,6,2,2021-2022,,
ГФ,БТМ-21,7,1,2021-2022,,
ГФ,БТМ-22,8,2,2021-2022,,
ГФ,БТМ-23,10,1,2023-2024 уч.год,,
ГФ,БТС-16,20,6,2021-2022,,
ГФ,БТС-17,21,5,2021-2022,,
ГФ,БТС-18,19,4,2021-2022,,
ГФ,БТС-19,17,5,2023-2024 уч.год,,
ГФ,БТС-20,19,4,2023-2024 уч.год,,
ГФ,БТС-21,22,2,2022-2023 весна,,
ГФ,БТС-22,23,2,2023-2024 уч.год,,
ГФ,ВД-18,24,4,2021-2022,,
ГФ,ВД-19,20,4,2022-2023 весна,,
ГФ,ВД-20,20,4,2023-2024 уч.год,,
ГФ,ВД-21,19,3,2023-2024 уч.год,,
ГФ,ГГ-17-1,18,6,2021-2022,,
ГФ,ГГ-17-2,18,6,2021-2022,,
ГФ,ГГ-18-1,22,4,2021-2022,,
ГФ,ГГ-18-2,22,4,2021-2022,,
ГФ,ГГ-19-1,20,4,2022-2023 весна,,
ГФ,ГГ-19-2,20,4,2022-2023 весна,,
ГФ,ГГ-20-1,19,4,2023-2024 уч.год,,
ГФ,ГГ-20-2,19,4,2023-2024 уч.год,,
ГФ,ГГ-21-1,27,3,2023-2024 уч.год,,
ГФ,ГГ-21-2,27,3,2023-2024 уч.год,,
ГФ,ГК-18-1,18,4,2021-2022,,
ГФ,ГК-18-2,18,4,2021-2022,,
ГФ,ГК-19-1,18,4,2022-2023 весна,,
ГФ,ГК-19-2,18,4,2022-2023 весна,,
ГФ,ГМ-17,17,5,2021-2022,,
ГФ,ГМ-18,23,4,2021-2022,,
ГФ,ГМ-19,15,4,2022-2023 весна,,
ГФ,ГМ-21,20,3,2023-2024 уч.год,,
ГФ,ГНГ-18-1,14,4,2021-2022,,
ГФ,ГНГ-18-2,14,4,2021-2022,,
ГФ,ГНГ-19-1,16,4,2022-2023 весна,,
ГФ,ГНГ-19-2,16,4,2022-2023 весна,,
ГФ,ГРП-19,21,3,2021-2022,,
ГФ,ГРП-21,20,3,2023-2024 уч.год,,
ГФ,ГС-17-1,22,6,2021-2022,,
ГФ,ГС-17-2,22,6,2021-2022,,
ГФ,ГС-18-1,21,4,2021-2022,,
ГФ,ГС-18-2,21,4,2021-2022,,
ГФ,ГС-19-1,27,4,2022-2023 весна,,
ГФ,ГС-19-2,27,4,2022-2023 весна,,
ГФ,ГС-20-1,21,4,2023-2024 уч.год,,
ГФ,ГС-20-2,21,4,2023-2024 уч.год,,
ГФ,ГС-21-1,26,3,2023-2024 уч.год,,
