group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
АГС-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
АГС-20-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
АГС-20-2,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
АПГ-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
АПГ-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
АПМ-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
АПМ-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
АПН-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
АПН-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
БТБ-18,BP-022,Производственная и пожарная безопасность,2021-2022,,
БТБ-18,BP-023,Производственная санитария и гигиена труда,2021-2022,,
БТБ-19,BP-002,Аэрология горных предприятий,2021-2022,,
БТБ-19,BP-005,Безопасность в нефтегазовой промышленности,2021-2022,,
БТБ-19,BP-022,Производственная и пожарная безопасность,2022-2023 весна,,
БТБ-19,BP-023,Производственная санитария и гигиена труда,2021-2022,,
БТБ-19,BP-027,Теплофизика,2021-2022,,
БТБ-20,BP-002,Аэрология горных предприятий,2021-2022,,
БТБ-20,BP-023,Производственная санитария и гигиена труда,2022-2023 весна,,
БТБ-21,BP-009,Гидрогазодинамика,2023-2024 уч.год,,
БТБ-21,BP-023,Производственная санитария и гигиена труда,2023-2024 уч.год,,
БТБ-21,BP-024,Промышленная безопасность,2023-2024 уч.год,,
БТМ-20,BP-015,Методы и средства контроля производственной среды [выбранные дисциплины] 6 чел.,2021-2022,,
БТМ-20,BP-016,Моделирование процессов горного производства [выбранные дисциплины] 6 чел.,2021-2022,,
БТМ-21,BP-001,Аэрологическая безопасность,2021-2022,,
БТМ-21,BP-019,Основы организации экспериментальных исследований,2021-2022,,
БТМ-22,BP-001,Аэрологическая безопасность,2021-2022,,
БТМ-23,BP-019,Основы организации экспериментальных исследований,2023-2024 уч.год,,
БТС-16,BP-012,Документационное обеспечение безопасности [выбранные дисциплины] 20 чел.,2021-2022,,
БТС-16,BP-018,Организация реанимационно-противошоковых мероприятий,2021-2022,,
БТС-17,BP-006,Безопасность ведения горных работ и горноспасательное дело,2021-2022,,
БТС-17,BP-020,Пожарная безопасность открытых горных работ и поверхностного комплекса,2021-2022,,
БТС-17,BP-021,Пожарная безопасность подземных горных работ,2021-2022,,
БТС-17,BP-024,Промышленная безопасность,2021-2022,,
БТС-17,BP-025,Промышленная вентиляция,2021-2022,,
БТС-18,BP-002,Аэрология горных предприятий,2021-2022,,
БТС-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
БТС-18,BP-011,Документационное обеспечение безопасности [выбранные дисциплины] 18 чел.,2023-2024 уч.год,,
БТС-18,BP-014,Защита в чрезвычайных ситуациях [выбранные дисциплины] 19 чел.,2021-2022,,
БТС-18,BP-018,Организация реанимационно-противошоковых мероприятий,2023-2024 уч.год,,
БТС-18,BP-025,Промышленная вентиляция,2022-2023 весна,,
БТС-18,BP-026,Теплотехника,2021-2022,,
БТС-19,BP-006,Безопасность ведения горных работ и горноспасательное дело,2023-2024 уч.год,,
БТС-19,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
БТС-19,BP-013,Защита в чрезвычайных ситуациях [выбранные дисциплины] 17 чел.,2022-2023 весна,,
БТС-19,BP-023,Производственная санитария и гигиена труда,2021-2022,,
БТС-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
БТС-20,BP-014,Защита в чрезвычайных ситуациях [выбранные дисциплины] 19 чел.,2023-2024 уч.год,,
БТС-20,BP-023,Производственная санитария и гигиена труда,2022-2023 весна,,
БТС-21,BP-010,Гидромеханика,2022-2023 весна,,
БТС-21,BP-023,Производственная санитария и гигиена труда,2023-2024 уч.год,,
БТС-22,BP-010,Гидромеханика,2023-2024 уч.год,,
ВД-18,BP-002,Аэрология горных предприятий,2021-2022,,
ВД-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
ВД-19,BP-002,Аэрология горных предприятий,2022-2023 весна,,
ВД-19,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ВД-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ВД-21,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГГ-17-1,BP-002,Аэрология горных предприятий,2021-2022,,
ГГ-17-1,BP-006,Безопасность ведения горных работ и горноспасательное дело,2021-2022,,
ГГ-17-2,BP-002,Аэрология горных предприятий,2021-2022,,
