faculty_code,department_code,discipline_code_suggested,discipline_title,training_center_number,source_sheets,check_ok,review_comment
ФПМС,ХТПЭ,HTP-001,Высокотемпературные процессы химической технологии,1,2021-2022,,
ФПМС,ХТПЭ,HTP-002,Дополнительные главы процессов и аппаратов химической технологии,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-003,Инструментальные методы химического анализа в химической технологии природных энергоносителей,1,2021-2022,,
ФПМС,ХТПЭ,HTP-004,"Катализаторы в химической технологии ""Выбранные дисциплины 16 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-005,Коррозия и защита оборудования в химической технологии неорганических веществ,1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-006,Коррозия и защита оборудования в химической технологии неорганических веществ [выбранные дисциплины] 19 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-007,Коррозия и защита оборудования в химической технологии природных энергоносителей и углеродных материалов,1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-008,Коррозия и защита оборудования в химической технологии природных энергоносителей и углеродных материалов [выбранные дисциплины] 21+15 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-009,Коррозия и защита химико-технологических производств [выбранные дисциплины] 22+22 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-010,Материалы для оборудования неорганических производств,1,2021-2022,,
ФПМС,ХТПЭ,HTP-011,Материалы для оборудования нефтегазоперерабатывающих производств,1,2021-2022,,
ФПМС,ХТПЭ,HTP-012,Методы утилизации отходов предприятий по переработке минерального сырья,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-013,Методы утилизации отходов предприятий по пререработке минерального сырья,1,2025-2026 уч.год,,
ФПМС,ХТПЭ,HTP-014,Механика дисперсных сред,1,2021-2022,,
ФПМС,ХТПЭ,HTP-015,Механические процессы химической технологии,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-016,Моделирование химико-технологических процессов [выбранные дисциплины] 14 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-017,Моделирование химико-технологических процессов [выбранные дисциплины] 22+22 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-018,"Моделирование химико-технологических процессов переработки минерального сырья ""Выбранные дисциплины 15 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-019,Моделирование химико-технологических процессов переработки минерального сырья [выбранные дисциплины] 16 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-020,Моделирование химико-технологических процессов переработки минерального сырья [выбранные дисциплины] 25 чел.,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-021,Моделирование химико-технологических процессов переработки природных энергоносителей,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-022,Моделирование химико-технологических процессов переработки природных энергоносителей [выбранные дисциплины] 15 чел.,1,2025-2026 уч.год,,
ФПМС,ХТПЭ,HTP-023,Моделирование химико-технологических процессов переработки природных энергоносителей [выбранные дисциплины] 22+22 чел.,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-024,Моделирование химико-технологических процессов переработки природных энергоносителей [выбранные дисциплины] 26 чел.,1,2025-2026 уч.год,,
ФПМС,ХТПЭ,HTP-025,Моделирование химико-технологических процессов переработки природных энергоносителей [выбранные дисциплины] 30 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-026,"Моделирование химико-технологических процессов переработки природных энергоносителейел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-027,Общая химическая технология,1,2021-2022,,
ФПМС,ХТПЭ,HTP-028,Основы биотехнологии,1,2022-2023,,
ФПМС,ХТПЭ,HTP-029,"Основы биотехнологии ""Выбранные дисциплины 15 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-030,Основы биотехнологии [выбранные дисциплины] 16 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-031,Основы проектирования и оборудование [выбранные дисциплины] 14 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-032,"Основы производства катализатора ""Выбранные дисциплины 16 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-033,Основы производства катализаторов [выбранные дисциплины] 16 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-034,Основы производства катализаторов [выбранные дисциплины] 22 чел.,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-035,Основы химической технологии,1,2025-2026 уч.год,,
ФПМС,ХТПЭ,HTP-036,Основы химической технологии смазочных масел и присадок,1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-037,Очистка и комплексная переработка отходящих газов,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-038,Очистка и комплексная переработка отходящих газов [выбранные дисциплины] 16 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-039,Подготовка и переработка углеводородных газов,1,2025-2026 уч.год,,
ФПМС,ХТПЭ,HTP-040,Подготовка и переработка углеводородных газов [выбранные дисциплины] 18+17 чел.,1,2021-2022,,
