faculty_code,group_name,student_count_suggested,course_suggested,source_sheets,check_ok,review_comment
ФПМС,ИН-23-22,37,3,2025-2026 уч.год,,
ФПМС,ИН-23-23,37,3,2025-2026 уч.год,,
ФПМС,ИН-23-24,31,3,2025-2026 уч.год,,
ФПМС,ОНГ-23,28,3,2025-2026 уч.год,,
ФПМС,СТХ-24,22,1,2024-2025 уч.год,,
ФПМС,СТХ-25,15,1,2025-2026 уч.год,,
ФПМС,ТНГ-22,24,3,2024-2025 уч.год,,
ФПМС,ТХ-18-1,22,4,2021-2022,,
ФПМС,ТХ-18-2,22,4,2021-2022,,
ФПМС,ТХ-19-1,18,3,2021-2022,,
ФПМС,ТХ-19-2,18,3,2021-2022,,
ФПМС,ТХ-20,30,3,2022-2023 весна,,
ФПМС,ТХ-20-1,21,2,2021-2022,,
ФПМС,ТХ-20-2,21,2,2021-2022,,
ФПМС,ТХ-21-1,22,4,2024-2025 уч.год,,
ФПМС,ТХ-21-2,22,4,2024-2025 уч.год,,
ФПМС,ТХ-22-1,26,4,2025-2026 уч.год,,
ФПМС,ТХ-22-2,15,4,2025-2026 уч.год,,
ФПМС,ТХ-23-1,24,3,2025-2026 уч.год,,
ФПМС,ТХ-23-2,9,3,2025-2026 уч.год,,
ФПМС,ТХМ-20,9,2,2021-2022,,
ФПМС,ТХМ-21,10,1,2021-2022,,
ФПМС,ТХМ-22,10,1,2022-2023,,
ФПМС,ТХМ-23,8,1,2023-2024 уч.год,,
ФПМС,ТХН-18,14,4,2021-2022,,
ФПМС,ТХН-19,15,4,2022-2023 весна,,
ФПМС,ТХН-20,16,3,2022-2023 весна,,
ФПМС,ТХН-21,25,4,2024-2025 уч.год,,
ФПМС,ТХН-21-1,24,2,2022-2023 весна,,
ФПМС,ТХН-21-2,24,2,2022-2023 весна,,
ФПМС,ТХН-22,24,2,2023-2024 уч.год,,
ФПМС,ТХН-23,31,3,2025-2026 уч.год,,
ФПМС,ХТНМ-20,7,2,2021-2022,,
ФПМС,ХТНМ-21,10,1,2021-2022,,
ФПМС,ХТНМ-22,10,1,2022-2023 весна,,
ФПМС,ХТНМ-23,5,1,2023-2024 уч.год,,
ФПМС,ХТОМ-20,5,2,2021-2022,,
ФПМС,ХТОМ-21,10,1,2021-2022,,
ФПМС,ХТОМ-22,10,1,2022-2023 весна,,
ФПМС,ХТОМ-23,7,1,2023-2024 уч.год,,
