faculty_code,department_code,discipline_code_suggested,discipline_title,training_center_number,source_sheets,check_ok,review_comment
ФПМС,МЕТ,MET-001,Гидрометаллургические процессы и аппараты,1,2022-2023 уч.год,,
ФПМС,МЕТ,MET-002,Гидрометаллургическое оборудование,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-003,Защита оборудования от коррозии,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-004,Защита оборудования от коррозии [выбранные дисциплины] 21+21 чел.,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-005,Коррозия и защита металлов,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-006,Коррозия и защита металлов [выбранные дисциплины] 26 чел.,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-007,Коррозия и защита металлов [выбранные дисциплины] 28 чел.,1,2022-2023 весна,,
ФПМС,МЕТ,MET-008,Материаловедение,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-009,Металловедение,1,2022-2023 весна,,
ФПМС,МЕТ,MET-010,Металловедение и защита от коррозии,1,2022-2023 уч.год,,
ФПМС,МЕТ,MET-011,Металлургическая гидроаппаратура,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-012,Металлургическая теплотехника и основы печных технологий,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-013,Металлургические печи и энерготехнологическое оборудование,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-014,Металлургические технологии производства и обработки металлов,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-015,Металлургия благородных металлов,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-016,Металлургия легких и редких металлов,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-017,Металлургия лёгких металлов,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-018,Металлургия редких металлов,1,2022-2023 весна,,
ФПМС,МЕТ,MET-019,Металлургия редких металлов [выбранные дисциплины] 24 чел.,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-020,Металлургия тяжелых и благородных металлов,1,2024-2025 уч.год,,
ФПМС,МЕТ,MET-021,Металлургия тяжёлых и благородных металлов,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-022,Металлургия тяжёлых цветных металлов,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-023,Методы исследования физико-химических систем,1,2022-2023 весна,,
ФПМС,МЕТ,MET-024,Методы исследования физико-химических систем [выбранные дисциплины] 18+14 чел.,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-025,Методы количественного и фазового анализа на цветные и редкие металлы,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-026,Методы контроля и анализа веществ,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-027,Моделирование процессов и объектов в металлургии,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-028,Организация и математическое планирование эксперимента,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-029,Основы металлургии,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-030,Основы металлургического производства,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-031,Основы производства спецматериалов и покрытий,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-032,Основы производства чугуна и стали,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-033,Основы технологии конструкционных материалов,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-034,Переработка шлаков и медных шламов [выбранные дисциплины] 17 чел.,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-035,Переработка шлаков и медных шламов [выбранные дисциплины] 24 чел.,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-036,Переработка шлаков и медных шламов [выбранные дисциплины] 26 чел.,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-037,Переработка шлаков и медных шламов [выбранные дисциплины] 28 чел.,1,2022-2023 уч.год,,
ФПМС,МЕТ,MET-038,Пирометаллургическое оборудование,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-039,Производство глинозема,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-040,Производство цветных металлов,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-041,Производство черных металлов,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-042,Промышленные печи производства металлов [выбранные дисциплины] 4 чел.,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-043,"Процессы в области металлургии, материаловедения и технологии материалов, часть 1",1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-044,"Процессы в области металлургии, материаловедения и технологии материалов, часть 2",1,2024-2025 уч.год,,
ФПМС,МЕТ,MET-045,Расчет и методы исследования пирометаллургических процессов [выбранные дисциплины] 5 чел.,1,2022-2023 весна,,
ФПМС,МЕТ,MET-046,Расчет и методы исследования пирометаллургических процессов [выбранные дисциплины] 6 чел.,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-047,Расчет и методы исследования пирометаллургических процессов [выбранные дисциплины] 7 чел.,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-048,Теория гидрометаллургических процессов,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-049,Теория металлургических процессов,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-050,Теория пирометаллургических процессов,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-051,Теория электрометаллургических процессов,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-052,Тепломассообменные процессы в горно-металлургических производствах,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-053,Технологии и процессы в металлургии,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-054,Технологические процессы автоматизированных производств в металлургии,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-055,Утилизация и использование отходов переработки минерального сырья,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-056,Физико-химические основы методов концентрирования и извлечения металлов из растворов,1,2023-2024 уч.год,,
ФПМС,МЕТ,MET-057,Экологические основы металлургического производства,1,2025-2026 уч.год,,
ФПМС,МЕТ,MET-058,Энерготехнологическое оборудование металлургических процессов [выбранные дисциплины] 14 чел.,1,2021-2022 уч.год,,
ФПМС,МЕТ,MET-059,Энерготехнологическое оборудование металлургических процессов [выбранные дисциплины] 16 чел.,1,2022-2023 уч.год,,
ФПМС,МЕТ,MET-060,Энерготехнологическое оборудование металлургических процессов [выбранные дисциплины] 19 чел.,1,2023-2024 уч.год,,
