faculty_code,group_name,student_count_suggested,course_suggested,source_sheets,check_ok,review_comment
ФПМС,АПГ-21,24,2,2022-2023 уч.год,,
ФПМС,АПГ-22,18,2,2023-2024 уч.год,,
ФПМС,АПМ-19,14,3,2021-2022 уч.год,,
ФПМС,АПМ-20,16,3,2022-2023 уч.год,,
ФПМС,АПМ-21,19,3,2023-2024 уч.год,,
ФПМС,АПМ-22,16,3,2024-2025 уч.год,,
ФПМС,АПН-21,27,2,2022-2023 уч.год,,
ФПМС,АПН-22,22,2,2023-2024 уч.год,,
ФПМС,БТБ-23,27,3,2025-2026 уч.год,,
ФПМС,ИЗБ-19,28,3,2021-2022 уч.год,,
ФПМС,ИЗБ-20-1,19,3,2022-2023 уч.год,,
ФПМС,ИЗБ-20-2,19,3,2022-2023 уч.год,,
ФПМС,ИЗБ-21-1,19,3,2023-2024 уч.год,,
ФПМС,ИЗБ-21-2,19,3,2023-2024 уч.год,,
ФПМС,ИЗБ-22-1,18,3,2024-2025 уч.год,,
ФПМС,ИЗБ-22-2,18,3,2024-2025 уч.год,,
ФПМС,ИЗС-21-1,16,4,2025-2026 уч.год,,
ФПМС,ИЗС-21-2,16,4,2025-2026 уч.год,,
ФПМС,ИН-23-26,27,3,2025-2026 уч.год,,
ФПМС,ИТО-21,20,3,2023-2024 уч.год,,
ФПМС,ИТО-22,14,3,2024-2025 уч.год,,
ФПМС,МЦ-18,24,4,2021-2022 уч.год,,
ФПМС,МЦ-19,28,4,2022-2023 уч.год,,
ФПМС,МЦ-20,26,4,2023-2024 уч.год,,
ФПМС,МЦ-20-1,18,2,2021-2022 уч.год,,
ФПМС,МЦ-20-2,18,2,2021-2022 уч.год,,
ФПМС,МЦ-21-1,19,4,2024-2025 уч.год,,
ФПМС,МЦ-21-2,19,4,2024-2025 уч.год,,
ФПМС,МЦ-22,17,4,2025-2026 уч.год,,
ФПМС,МЦ-23,23,3,2025-2026 уч.год,,
ФПМС,МЦМ-20,6,2,2021-2022 уч.год,,
ФПМС,МЦМ-21,5,2,2022-2023 весна|2022-2023 уч.год,,
ФПМС,МЦМ-22,9,2,2023-2024 уч.год,,
ФПМС,МЦМ-23,6,2,2024-2025 уч.год,,
ФПМС,ОНГ-20-1,21,4,2023-2024 уч.год,,
ФПМС,ОНГ-20-2,21,4,2023-2024 уч.год,,
ФПМС,ОНГ-21,24,4,2024-2025 уч.год,,
ФПМС,ОНГ-22,15,4,2025-2026 уч.год,,
ФПМС,ОТ-23-48,23,3,2025-2026 уч.год,,
ФПМС,СМЦ-24,12,1,2025-2026 уч.год,,
ФПМС,СМЦ-25,15,1,2025-2026 уч.год,,
ФПМС,ЭПМ-20,2,2,2021-2022 уч.год,,
ФПМС,ЭПМ-21,5,1,2021-2022 уч.год,,
ФПМС,ЭПМ-22,4,2,2023-2024 уч.год,,
ФПМС,ЭПМ-23,5,2,2024-2025 уч.год,,
