group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
АПГ-21,MET-010,Металловедение и защита от коррозии,2022-2023 уч.год,,
АПГ-22,MET-010,Металловедение и защита от коррозии,2023-2024 уч.год,,
АПМ-19,MET-002,Гидрометаллургическое оборудование,2021-2022 уч.год,,
АПМ-19,MET-038,Пирометаллургическое оборудование,2021-2022 уч.год,,
АПМ-19,MET-054,Технологические процессы автоматизированных производств в металлургии,2021-2022 уч.год,,
АПМ-19,MET-058,Энерготехнологическое оборудование металлургических процессов [выбранные дисциплины] 14 чел.,2021-2022 уч.год,,
АПМ-20,MET-002,Гидрометаллургическое оборудование,2022-2023 уч.год,,
АПМ-20,MET-038,Пирометаллургическое оборудование,2022-2023 уч.год,,
АПМ-20,MET-054,Технологические процессы автоматизированных производств в металлургии,2022-2023 уч.год,,
АПМ-20,MET-059,Энерготехнологическое оборудование металлургических процессов [выбранные дисциплины] 16 чел.,2022-2023 уч.год,,
АПМ-21,MET-002,Гидрометаллургическое оборудование,2023-2024 уч.год,,
АПМ-21,MET-010,Металловедение и защита от коррозии,2022-2023 уч.год,,
АПМ-21,MET-038,Пирометаллургическое оборудование,2023-2024 уч.год,,
АПМ-21,MET-049,Теория металлургических процессов,2023-2024 уч.год,,
АПМ-21,MET-054,Технологические процессы автоматизированных производств в металлургии,2023-2024 уч.год,,
АПМ-21,MET-060,Энерготехнологическое оборудование металлургических процессов [выбранные дисциплины] 19 чел.,2023-2024 уч.год,,
АПМ-22,MET-002,Гидрометаллургическое оборудование,2024-2025 уч.год,,
АПМ-22,MET-010,Металловедение и защита от коррозии,2023-2024 уч.год,,
АПМ-22,MET-038,Пирометаллургическое оборудование,2024-2025 уч.год,,
АПМ-22,MET-049,Теория металлургических процессов,2024-2025 уч.год,,
АПМ-22,MET-054,Технологические процессы автоматизированных производств в металлургии,2024-2025 уч.год,,
АПМ-22,MET-060,Энерготехнологическое оборудование металлургических процессов [выбранные дисциплины] 19 чел.,2024-2025 уч.год,,
АПН-21,MET-010,Металловедение и защита от коррозии,2022-2023 уч.год,,
АПН-22,MET-010,Металловедение и защита от коррозии,2023-2024 уч.год,,
