faculty_code,group_name,student_count_suggested,course_suggested,source_sheets,check_ok,review_comment
ФПМС,332.0,21,2,2022-2023 весна,,
ФПМС,АПГ-22,18,2,2023-2024 уч.год,,
ФПМС,АПМ-20,18,2,2021-2022 уч.год,,
ФПМС,АПМ-21,19,3,2023-2024 уч.год,,
ФПМС,АПМ-22,16,3,2024-2025 уч.год,,
ФПМС,АПН-19,22,3,2021-2022 уч.год,,
ФПМС,АПН-20,23,2,2021-2022 уч.год,,
ФПМС,АПН-21,22,3,2023-2024 уч.год,,
ФПМС,АПН-22,20,3,2024-2025 уч.год,,
ФПМС,АХ-23,20,1,2023-2024 уч.год,,
ФПМС,БТБ-23,30,1,2023-2024 уч.год,,
ФПМС,БТС-23,25,1,2023-2024 уч.год,,
ФПМС,ВД-23,25,1,2023-2024 уч.год,,
ФПМС,ВС-23,15,1,2023-2024 уч.год,,
ФПМС,ГГ-23-1,25,1,2023-2024 уч.год,,
ФПМС,ГГ-23-2,25,1,2023-2024 уч.год,,
ФПМС,ГМ-23,22,1,2023-2024 уч.год,,
ФПМС,ГНГ-20-1,16,2,2021-2022 уч.год,,
ФПМС,ГНГ-20-2,16,2,2021-2022 уч.год,,
ФПМС,ГНГ-21-1,17,2,2022-2023 весна,,
ФПМС,ГНГ-21-2,17,2,2022-2023 весна,,
ФПМС,ГНГ-22,30,2,2023-2024 уч.год,,
ФПМС,ГНГ-23,30,1,2023-2024 уч.год,,
ФПМС,ГРП-21,22,2,2022-2023 весна,,
ФПМС,ГРП-22,20,2,2023-2024 уч.год,,
ФПМС,ГС-23-1,25,1,2023-2024 уч.год,,
ФПМС,ГС-23-2,25,1,2023-2024 уч.год,,
ФПМС,ГТС-23,20,1,2023-2024 уч.год,,
ФПМС,ДГ-21,29,2,2022-2023 весна,,
ФПМС,ДГ-22,27,2,2023-2024 уч.год,,
ФПМС,ИЗБ-19,28,3,2021-2022 уч.год,,
ФПМС,ИЗБ-20-1,19,3,2022-2023 уч.год,,
ФПМС,ИЗБ-20-2,19,3,2022-2023 уч.год,,
ФПМС,ИЗБ-21-1,21,3,2023-2024 уч.год,,
ФПМС,ИЗБ-21-2,21,3,2023-2024 уч.год,,
ФПМС,ИЗБ-22-1,18,3,2024-2025 уч.год,,
ФПМС,ИЗБ-22-2,18,3,2024-2025 уч.год,,
ФПМС,ИЗБ-23-1,20,1,2023-2024 уч.год,,
ФПМС,ИЗБ-23-2,20,1,2023-2024 уч.год,,
ФПМС,ИЗС-19-1,17,3,2021-2022 уч.год,,
ФПМС,ИЗС-19-2,17,3,2021-2022 уч.год,,
ФПМС,ИЗС-20-1,16,3,2022-2023 весна,,
ФПМС,ИЗС-20-2,16,3,2022-2023 весна,,
ФПМС,ИЗС-21-1,17,3,2023-2024 уч.год,,
ФПМС,ИЗС-21-2,17,3,2023-2024 уч.год,,
ФПМС,ИЗС-22-1,20,2,2023-2024 уч.год,,
ФПМС,ИЗС-22-2,20,2,2023-2024 уч.год,,
ФПМС,ИЗС-23-1,20,1,2023-2024 уч.год,,
ФПМС,ИЗС-23-2,20,1,2023-2024 уч.год,,
ФПМС,ИН-24-10,228,2,2025-2026 уч.год,,
ФПМС,ИН-24-11,258,2,2025-2026 уч.год,,
ФПМС,ИН-24-12,258,2,2025-2026 уч.год,,
ФПМС,ИН-24-13,258,2,2025-2026 уч.год,,
ФПМС,ИН-24-17,258,2,2025-2026 уч.год,,
ФПМС,ИН-24-18,258,2,2025-2026 уч.год,,
ФПМС,ИН-24-19,258,2,2025-2026 уч.год,,
ФПМС,ИН-24-21,258,2,2025-2026 уч.год,,
ФПМС,ИН-24-29,228,2,2025-2026 уч.год,,
ФПМС,ИН-24-5,258,2,2025-2026 уч.год,,
ФПМС,ИН-24-6,258,2,2025-2026 уч.год,,
ФПМС,ИН-24-8,228,2,2025-2026 уч.год,,
ФПМС,ИН-24-9,228,2,2025-2026 уч.год,,
ФПМС,ИТО-23,20,1,2023-2024 уч.год,,
ФПМС,ИТУ-23,30,1,2023-2024 уч.год,,
ФПМС,КРС-21,20,2,2022-2023 весна,,
ФПМС,КРС-22,21,2,2023-2024 уч.год,,
ФПМС,МГП-20,23,2,2021-2022 уч.год,,
ФПМС,МГП-21,25,2,2022-2023 весна,,
ФПМС,МГП-22,23,2,2023-2024 уч.год,,
ФПМС,МГП-23,25,1,2023-2024 уч.год,,
ФПМС,МНМ-20,25,2,2021-2022 уч.год,,
ФПМС,МНМ-21,25,1,2021-2022 уч.год,,
ФПМС,МНМ-22,20,1,2022-2023 весна|2022-2023 уч.год,,
ФПМС,МНМ-23,25,1,2023-2024 уч.год,,
ФПМС,МО-23,16,2,2025-2026 уч.год,,
ФПМС,МОП-23,25,1,2023-2024 уч.год (новая),,
ФПМС,МЦ-20-1,18,2,2021-2022 уч.год,,
ФПМС,МЦ-20-2,18,2,2021-2022 уч.год,,
ФПМС,МЦ-21-1,22,2,2022-2023 уч.год,,
ФПМС,МЦ-21-2,22,2,2022-2023 уч.год,,
ФПМС,МЦ-22,20,2,2023-2024 уч.год,,
ФПМС,МЦ-23,30,1,2023-2024 уч.год,,
ФПМС,НБ-21-1,23,2,2022-2023 весна,,
ФПМС,НБ-21-2,23,2,2022-2023 весна,,
ФПМС,НБ-22-1,18,2,2023-2024 уч.год,,
ФПМС,НБ-22-2,18,2,2023-2024 уч.год,,
ФПМС,НБ-23,20,1,2023-2024 уч.год (новая),,
ФПМС,НБС-20,20,2,2021-2022 уч.год,,
ФПМС,НБС-21,22,2,2022-2023 весна,,
ФПМС,НБС-22,20,2,2023-2024 уч.год,,
ФПМС,НБС-23-1,25,1,2023-2024 уч.год,,
ФПМС,НБС-23-2,25,1,2023-2024 уч.год,,
ФПМС,НБС-23-3,25,1,2023-2024 уч.год,,
ФПМС,НБШ-21,24,2,2022-2023 весна,,
ФПМС,НБШ-22,29,2,2023-2024 уч.год,,
ФПМС,НГД-20-1,22,2,2021-2022 уч.год,,
ФПМС,НГД-20-10,24,2,2021-2022 уч.год,,
ФПМС,НГД-20-11,15,2,2021-2022 уч.год,,
ФПМС,НГД-20-12,18,2,2021-2022 уч.год,,
ФПМС,НГД-20-2,23,2,2021-2022 уч.год,,
ФПМС,НГД-20-3,23,2,2021-2022 уч.год,,
ФПМС,НГД-20-4,19,2,2021-2022 уч.год,,
ФПМС,НГД-20-5,22,2,2021-2022 уч.год,,
ФПМС,НГД-20-6,22,2,2021-2022 уч.год,,
ФПМС,НГД-20-7,22,2,2021-2022 уч.год,,
ФПМС,НГД-20-8,27,2,2021-2022 уч.год,,
ФПМС,НГД-20-9,18,2,2021-2022 уч.год,,
ФПМС,НГД-21-1,22,2,2022-2023 уч.год,,
ФПМС,НГД-21-10,24,2,2022-2023 уч.год,,
ФПМС,НГД-21-11,20,2,2022-2023 уч.год,,
ФПМС,НГД-21-12,23,2,2022-2023 уч.год,,
