group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
332.0,OFH-017,Физическая химия,2022-2023 весна,,
АПГ-22,OFH-018,Химия,2023-2024 уч.год,,
АПМ-20,OFH-002,Аналитическая химия [выбранные дисциплины] 18 чел.,2021-2022 уч.год,,
АПМ-20,OFH-017,Физическая химия,2021-2022 уч.год,,
АПМ-21,OFH-017,Физическая химия,2023-2024 уч.год,,
АПМ-22,OFH-017,Физическая химия,2024-2025 уч.год,,
АПМ-22,OFH-018,Химия,2023-2024 уч.год,,
АПН-19,OFH-011,Органическая химия [выбранные дисциплины] 22 чел.,2021-2022 уч.год,,
АПН-20,OFH-003,Аналитическая химия [выбранные дисциплины] 23 чел.,2021-2022 уч.год,,
АПН-20,OFH-010,Органическая химия [выбранные дисциплины] 21 чел.,2022-2023 уч.год,,
АПН-20,OFH-017,Физическая химия,2021-2022 уч.год,,
АПН-21,OFH-009,Органическая химия,2023-2024 уч.год,,
АПН-21,OFH-017,Физическая химия,2023-2024 уч.год,,
АПН-22,OFH-009,Органическая химия,2024-2025 уч.год,,
АПН-22,OFH-017,Физическая химия,2024-2025 уч.год,,
АПН-22,OFH-018,Химия,2023-2024 уч.год,,
АХ-23,OFH-018,Химия,2023-2024 уч.год,,
БТБ-23,OFH-018,Химия,2023-2024 уч.год,,
БТС-23,OFH-018,Химия,2023-2024 уч.год,,
ВД-23,OFH-018,Химия,2023-2024 уч.год,,
ВС-23,OFH-018,Химия,2023-2024 уч.год,,
ГГ-23-1,OFH-018,Химия,2023-2024 уч.год,,
ГГ-23-2,OFH-018,Химия,2023-2024 уч.год,,
ГМ-23,OFH-018,Химия,2023-2024 уч.год,,
ГНГ-20-1,OFH-013,Термодинамика и кинетика,2021-2022 уч.год,,
ГНГ-20-2,OFH-013,Термодинамика и кинетика,2021-2022 уч.год,,
ГНГ-21-1,OFH-013,Термодинамика и кинетика,2022-2023 весна,,
ГНГ-21-2,OFH-013,Термодинамика и кинетика,2022-2023 весна,,
ГНГ-22,OFH-013,Термодинамика и кинетика,2023-2024 уч.год,,
ГНГ-23,OFH-021,Химия элементов и их соединений,2023-2024 уч.год,,
ГРП-21,OFH-019,Химия нефти и газа,2022-2023 весна,,
ГРП-21,OFH-023,"Химия, часть 2",2022-2023 весна,,
ГРП-22,OFH-019,Химия нефти и газа,2023-2024 уч.год,,
ГРП-22,OFH-020,Химия часть 2,2023-2024 уч.год (новая),,
ГРП-22,OFH-022,"Химия, часть 1",2023-2024 уч.год,,
ГРП-22,OFH-023,"Химия, часть 2",2023-2024 уч.год,,
ГС-23-1,OFH-018,Химия,2023-2024 уч.год,,
ГС-23-2,OFH-018,Химия,2023-2024 уч.год,,
ГТС-23,OFH-018,Химия,2023-2024 уч.год,,
ДГ-21,OFH-019,Химия нефти и газа,2022-2023 весна,,
ДГ-21,OFH-023,"Химия, часть 2",2022-2023 весна,,
ДГ-22,OFH-019,Химия нефти и газа,2023-2024 уч.год,,
ДГ-22,OFH-022,"Химия, часть 1",2023-2024 уч.год,,
ДГ-22,OFH-023,"Химия, часть 2",2023-2024 уч.год,,
ИЗБ-19,OFH-005,Коллоидная химия,2021-2022 уч.год,,
ИЗБ-20-1,OFH-005,Коллоидная химия,2022-2023 уч.год,,
ИЗБ-20-1,OFH-017,Физическая химия,2021-2022 уч.год,,
ИЗБ-20-1,OFH-024,Экоаналитическая химия и физико-химические методы анализа [выбранные дисциплины] 19+16 чел.,2021-2022 уч.год,,
ИЗБ-20-2,OFH-005,Коллоидная химия,2022-2023 уч.год,,
ИЗБ-20-2,OFH-017,Физическая химия,2021-2022 уч.год,,
ИЗБ-20-2,OFH-024,Экоаналитическая химия и физико-химические методы анализа [выбранные дисциплины] 19+16 чел.,2021-2022 уч.год,,
ИЗБ-21-1,OFH-005,Коллоидная химия,2023-2024 уч.год,,
ИЗБ-21-1,OFH-009,Органическая химия,2022-2023 весна|2022-2023 уч.год,,
ИЗБ-21-1,OFH-017,Физическая химия,2022-2023 уч.год,,
ИЗБ-21-2,OFH-005,Коллоидная химия,2023-2024 уч.год,,
ИЗБ-21-2,OFH-009,Органическая химия,2022-2023 весна|2022-2023 уч.год,,
ИЗБ-21-2,OFH-017,Физическая химия,2022-2023 уч.год,,
ИЗБ-22-1,OFH-005,Коллоидная химия,2024-2025 уч.год,,
ИЗБ-22-1,OFH-009,Органическая химия,2023-2024 уч.год,,
ИЗБ-22-1,OFH-017,Физическая химия,2023-2024 уч.год,,
ИЗБ-22-2,OFH-005,Коллоидная химия,2024-2025 уч.год,,
ИЗБ-22-2,OFH-009,Органическая химия,2023-2024 уч.год,,
ИЗБ-22-2,OFH-017,Физическая химия,2023-2024 уч.год,,
ИЗБ-23-1,OFH-001,Аналитическая химия,2023-2024 уч.год,,
ИЗБ-23-1,OFH-018,Химия,2023-2024 уч.год,,
ИЗБ-23-2,OFH-001,Аналитическая химия,2023-2024 уч.год,,
ИЗБ-23-2,OFH-018,Химия,2023-2024 уч.год,,
ИЗС-19-1,OFH-012,Специальные главы химии,2021-2022 уч.год,,
ИЗС-19-2,OFH-012,Специальные главы химии,2021-2022 уч.год,,
ИЗС-20-1,OFH-012,Специальные главы химии,2022-2023 весна,,
ИЗС-20-2,OFH-012,Специальные главы химии,2022-2023 весна,,
ИЗС-21-1,OFH-012,Специальные главы химии,2023-2024 уч.год,,
ИЗС-21-2,OFH-012,Специальные главы химии,2023-2024 уч.год,,
ИЗС-22-1,OFH-001,Аналитическая химия,2023-2024 уч.год,,
ИЗС-22-1,OFH-012,Специальные главы химии,2024-2025 уч.год,,
ИЗС-22-2,OFH-001,Аналитическая химия,2023-2024 уч.год,,
ИЗС-22-2,OFH-012,Специальные главы химии,2024-2025 уч.год,,
ИЗС-23-1,OFH-018,Химия,2023-2024 уч.год,,
ИЗС-23-2,OFH-018,Химия,2023-2024 уч.год,,
ИН-24-10,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-11,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-12,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-13,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-17,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-18,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-19,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-21,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-29,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-5,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-6,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-8,OFH-008,Общая химия,2025-2026 уч.год,,
ИН-24-9,OFH-008,Общая химия,2025-2026 уч.год,,
ИТО-23,OFH-018,Химия,2023-2024 уч.год,,
ИТУ-23,OFH-018,Химия,2023-2024 уч.год,,
КРС-21,OFH-019,Химия нефти и газа,2022-2023 весна,,
КРС-21,OFH-023,"Химия, часть 2",2022-2023 весна,,
КРС-22,OFH-019,Химия нефти и газа,2023-2024 уч.год,,
КРС-22,OFH-022,"Химия, часть 1",2023-2024 уч.год,,
КРС-22,OFH-023,"Химия, часть 2",2023-2024 уч.год,,
МГП-20,OFH-013,Термодинамика и кинетика,2021-2022 уч.год,,
МГП-21,OFH-013,Термодинамика и кинетика,2022-2023 весна,,
МГП-22,OFH-013,Термодинамика и кинетика,2023-2024 уч.год,,
МГП-23,OFH-021,Химия элементов и их соединений,2023-2024 уч.год,,
МНМ-20,OFH-017,Физическая химия,2021-2022 уч.год,,
МНМ-21,OFH-009,Органическая химия,2021-2022 уч.год,,
