faculty_code,department_code,discipline_code_suggested,discipline_title,training_center_number,source_sheets,check_ok,review_comment
ФПМС,ОПИ,OPI-001,Вспомогательные процессы обогащения,1,2021-2022,,
ФПМС,ОПИ,OPI-002,Гидромеханика,1,2021-2022,,
ФПМС,ОПИ,OPI-003,Гравитационные методы обогащения,1,2021-2022,,
ФПМС,ОПИ,OPI-004,"Дробление, измельчение и подготовка сырья к обогащению",1,2021-2022,,
ФПМС,ОПИ,OPI-005,Исследование руд на обогатимость,1,2025-2026 уч.год,,
ФПМС,ОПИ,OPI-006,Исследования руд на обогатимость,1,2021-2022,,
ФПМС,ОПИ,OPI-007,Комплексная переработка полезных ископаемых,1,2021-2022,,
ФПМС,ОПИ,OPI-008,"Магнитные, электрические и специальные методы обогащения",1,2021-2022,,
ФПМС,ОПИ,OPI-009,Обогащение полезных ископаемых,1,2021-2022,,
ФПМС,ОПИ,OPI-010,"Опробование, контроль и автоматизация обогатительных процессов",1,2022-2023 Весна,,
ФПМС,ОПИ,OPI-011,"Опробывание, контроль и автоматизация обогатительных процессов",1,2021-2022,,
ФПМС,ОПИ,OPI-012,Основы обогащения и переработки минерального сырья,1,2023-2024 уч.год,,
ФПМС,ОПИ,OPI-013,Основы обогащения полезных ископаемых,1,2025-2026 уч.год,,
ФПМС,ОПИ,OPI-014,Основы обогащения руд,1,2021-2022,,
ФПМС,ОПИ,OPI-015,Основы технологии переработки минерального сырья,1,2021-2022,,
ФПМС,ОПИ,OPI-016,Основы технологии переработки руд,1,2024-2025 уч.год,,
ФПМС,ОПИ,OPI-017,Переработка руд цветных металлов,1,2025-2026 уч.год,,
ФПМС,ОПИ,OPI-018,Переработка руд цветных металлов [выбранные дисциплины] 18 чел.,1,2021-2022,,
ФПМС,ОПИ,OPI-019,Переработка руд цветных металлов [выбранные дисциплины] 20 чел.,1,2023-2024 уч.год,,
ФПМС,ОПИ,OPI-020,Переработка руд цветных металлов [выбранные дисциплины] 27 чел.,1,2022-2023,,
ФПМС,ОПИ,OPI-021,Тепломассообменные процессы в горно-металлургических производствах,1,2025-2026 уч.год,,
ФПМС,ОПИ,OPI-022,Теплотехника,1,2021-2022,,
ФПМС,ОПИ,OPI-023,Технологии переработки полезных ископаемых [выбранные дисциплины] 6 чел.,1,2023-2024 уч.год,,
ФПМС,ОПИ,OPI-024,Технологические процессы и аппараты горно-обогатительного производства,1,2023-2024 уч.год,,
ФПМС,ОПИ,OPI-025,Технология отходов,1,2021-2022,,
ФПМС,ОПИ,OPI-026,Флотационные методы обогащения,1,2021-2022,,
ФПМС,ОПИ,OPI-027,Химия флотореагентов,1,2025-2026 уч.год,,
ФПМС,ОПИ,OPI-028,Химия флотореагентов [выбранные дисциплины] 22 чел.,1,2022-2023,,
ФПМС,ОПИ,OPI-029,Химия флотореагентов [выбранные дисциплины] 28 чел.,1,2021-2022,,
