faculty_code,group_name,student_count_suggested,course_suggested,source_sheets,check_ok,review_comment
ФПМС,АПГ-21,18,3,2023-2024 уч.год,,
ФПМС,АПГ-22,17,3,2024-2025 уч.год,,
ФПМС,БТБ-23,27,3,2025-2026 уч.год,,
ФПМС,БТМ-22,6,2,2023-2024 уч.год,,
ФПМС,БТС-19,19,3,2021-2022,,
ФПМС,БТС-20,20,3,2022-2023,,
ФПМС,БТС-21,17,3,2023-2024 уч.год,,
ФПМС,БТС-22,25,3,2024-2025 уч.год,,
ФПМС,ВД-19,22,3,2021-2022,,
ФПМС,ВД-20,23,3,2022-2023,,
ФПМС,ВД-21,19,3,2023-2024 уч.год,,
ФПМС,ВД-22,17,3,2024-2025 уч.год,,
ФПМС,ГГ-19-1,22,3,2021-2022,,
ФПМС,ГГ-19-2,22,3,2021-2022,,
ФПМС,ГГ-20-1,21,3,2022-2023,,
ФПМС,ГГ-20-2,21,3,2022-2023,,
ФПМС,ГГ-21-1,27,3,2023-2024 уч.год,,
ФПМС,ГГ-21-2,27,3,2023-2024 уч.год,,
ФПМС,ГГ-22-1,20,3,2024-2025 уч.год,,
ФПМС,ГГ-22-2,20,3,2024-2025 уч.год,,
ФПМС,ГМ-19,16,3,2021-2022,,
ФПМС,ГМ-20,14,3,2022-2023,,
ФПМС,ГМ-21,20,3,2023-2024 уч.год,,
ФПМС,ГМ-22,13,3,2024-2025 уч.год,,
ФПМС,ГМ-23,14,3,2025-2026 уч.год,,
ФПМС,ГС-19-1,27,3,2021-2022,,
ФПМС,ГС-19-2,27,3,2021-2022,,
ФПМС,ГС-20-1,22,3,2022-2023,,
ФПМС,ГС-20-2,22,3,2022-2023,,
ФПМС,ГС-21-1,26,3,2023-2024 уч.год,,
ФПМС,ГС-21-2,26,3,2023-2024 уч.год,,
ФПМС,ГС-22-1,22,3,2024-2025 уч.год,,
ФПМС,ГС-22-2,22,3,2024-2025 уч.год,,
ФПМС,ГТС-19,16,3,2021-2022,,
ФПМС,ГТС-20,12,3,2022-2023,,
ФПМС,ГТС-21,12,3,2023-2024 уч.год,,
ФПМС,ГТС-22,9,3,2024-2025 уч.год,,
ФПМС,ИЗС-19-1,17,3,2021-2022,,
ФПМС,ИЗС-19-2,17,3,2021-2022,,
ФПМС,ИЗС-20-1,16,3,2022-2023,,
ФПМС,ИЗС-20-2,16,3,2022-2023,,
ФПМС,ИЗС-21-1,17,3,2023-2024 уч.год,,
ФПМС,ИЗС-21-2,17,3,2023-2024 уч.год,,
ФПМС,ИЗС-22-1,16,3,2024-2025 уч.год,,
ФПМС,ИЗС-22-2,16,3,2024-2025 уч.год,,
ФПМС,ИН-23-26,27,3,2025-2026 уч.год,,
ФПМС,МГП-19,25,3,2021-2022,,
ФПМС,МГП-20,19,3,2022-2023,,
ФПМС,МЦ-20-1,18,2,2021-2022,,
ФПМС,МЦ-20-2,18,2,2021-2022,,
ФПМС,МЦ-21-1,22,2,2022-2023,,
ФПМС,МЦ-21-2,22,2,2022-2023,,
ФПМС,МЦ-22,20,2,2023-2024 уч.год,,
ФПМС,ОП-16,22,6,2021-2022,,
ФПМС,ОП-17,18,5,2021-2022,,
ФПМС,ОП-18,28,4,2021-2022,,
ФПМС,ОП-19,22,4,2022-2023,,
ФПМС,ОП-20,22,4,2023-2024 уч.год,,
ФПМС,ОП-21,22,4,2024-2025 уч.год,,
ФПМС,ОП-22,20,4,2025-2026 уч.год,,
ФПМС,ОП-23,17,3,2025-2026 уч.год,,
ФПМС,ОТ-23-13,14,3,2025-2026 уч.год,,
ФПМС,ОТ-23-28,17,3,2025-2026 уч.год,,
ФПМС,РМ-17,24,5,2021-2022,,
ФПМС,РМ-18,17,5,2022-2023,,
ФПМС,РМ-19,26,5,2023-2024 уч.год,,
ФПМС,РМ-21,21,5,2025-2026 уч.год,,
ФПМС,ТО-18,23,4,2021-2022,,
ФПМС,ТО-19,26,4,2022-2023,,
ФПМС,ТО-20,28,4,2023-2024 уч.год,,
ФПМС,ТО-21,19,3,2023-2024 уч.год,,
ФПМС,ТО-22,25,3,2024-2025 уч.год,,
ФПМС,ТПП-19,21,3,2021-2022,,
ФПМС,ТПП-20,17,3,2022-2023,,
ФПМС,ТПП-21,18,3,2023-2024 уч.год,,
ФПМС,ТПП-22,12,3,2024-2025 уч.год,,
ФПМС,ТПР-19,26,3,2021-2022,,
ФПМС,ТПР-20,23,3,2022-2023,,
ФПМС,ТПР-21,24,3,2023-2024 уч.год,,
ФПМС,ТПР-22,14,3,2024-2025 уч.год,,
ФПМС,ЭРС-19,28,3,2021-2022,,
ФПМС,ЭРС-20-1,16,3,2022-2023,,
ФПМС,ЭРС-20-2,16,3,2022-2023,,
ФПМС,ЭРС-21-1,18,3,2023-2024 уч.год,,
ФПМС,ЭРС-21-2,18,3,2023-2024 уч.год,,
ФПМС,ЭРС-22,25,3,2024-2025 уч.год,,
