group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
АПГ-21,OPI-024,Технологические процессы и аппараты горно-обогатительного производства,2023-2024 уч.год,,
АПГ-22,OPI-024,Технологические процессы и аппараты горно-обогатительного производства,2024-2025 уч.год,,
БТБ-23,OPI-013,Основы обогащения полезных ископаемых,2025-2026 уч.год,,
БТМ-22,OPI-023,Технологии переработки полезных ископаемых [выбранные дисциплины] 6 чел.,2023-2024 уч.год,,
БТС-19,OPI-009,Обогащение полезных ископаемых,2021-2022,,
БТС-20,OPI-009,Обогащение полезных ископаемых,2022-2023,,
БТС-21,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
БТС-22,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ВД-19,OPI-009,Обогащение полезных ископаемых,2021-2022,,
ВД-20,OPI-009,Обогащение полезных ископаемых,2022-2023,,
ВД-21,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
ВД-22,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ГГ-19-1,OPI-009,Обогащение полезных ископаемых,2021-2022,,
ГГ-19-2,OPI-009,Обогащение полезных ископаемых,2021-2022,,
ГГ-20-1,OPI-009,Обогащение полезных ископаемых,2022-2023,,
ГГ-20-2,OPI-009,Обогащение полезных ископаемых,2022-2023,,
ГГ-21-1,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
ГГ-21-2,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
ГГ-22-1,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ГГ-22-2,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ГМ-19,OPI-009,Обогащение полезных ископаемых,2021-2022,,
ГМ-20,OPI-009,Обогащение полезных ископаемых,2022-2023,,
ГМ-21,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
ГМ-22,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ГМ-23,OPI-012,Основы обогащения и переработки минерального сырья,2025-2026 уч.год,,
ГС-19-1,OPI-009,Обогащение полезных ископаемых,2021-2022,,
ГС-19-2,OPI-009,Обогащение полезных ископаемых,2021-2022,,
ГС-20-1,OPI-009,Обогащение полезных ископаемых,2022-2023,,
ГС-20-2,OPI-009,Обогащение полезных ископаемых,2022-2023,,
ГС-21-1,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
ГС-21-2,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
ГС-22-1,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ГС-22-2,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ГТС-19,OPI-009,Обогащение полезных ископаемых,2021-2022,,
ГТС-20,OPI-009,Обогащение полезных ископаемых,2022-2023,,
ГТС-21,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
ГТС-22,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ИЗС-19-1,OPI-009,Обогащение полезных ископаемых,2021-2022,,
ИЗС-19-2,OPI-009,Обогащение полезных ископаемых,2021-2022,,
ИЗС-20-1,OPI-009,Обогащение полезных ископаемых,2022-2023,,
ИЗС-20-2,OPI-009,Обогащение полезных ископаемых,2022-2023,,
ИЗС-21-1,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
ИЗС-21-2,OPI-012,Основы обогащения и переработки минерального сырья,2023-2024 уч.год,,
ИЗС-22-1,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ИЗС-22-2,OPI-012,Основы обогащения и переработки минерального сырья,2024-2025 уч.год,,
ИН-23-26,OPI-013,Основы обогащения полезных ископаемых,2025-2026 уч.год,,
МГП-19,OPI-015,Основы технологии переработки минерального сырья,2021-2022,,
МГП-20,OPI-015,Основы технологии переработки минерального сырья,2022-2023,,
МЦ-20-1,OPI-014,Основы обогащения руд,2021-2022,,
МЦ-20-2,OPI-014,Основы обогащения руд,2021-2022,,
МЦ-21-1,OPI-014,Основы обогащения руд,2022-2023,,
МЦ-21-2,OPI-014,Основы обогащения руд,2022-2023,,
МЦ-22,OPI-014,Основы обогащения руд,2023-2024 уч.год,,
ОП-16,OPI-006,Исследования руд на обогатимость,2021-2022,,
ОП-16,OPI-025,Технология отходов,2021-2022,,
ОП-17,OPI-003,Гравитационные методы обогащения,2021-2022,,
ОП-17,OPI-006,Исследования руд на обогатимость,2022-2023,,
ОП-17,OPI-007,Комплексная переработка полезных ископаемых,2021-2022,,
ОП-17,OPI-011,"Опробывание, контроль и автоматизация обогатительных процессов",2021-2022,,
ОП-17,OPI-018,Переработка руд цветных металлов [выбранные дисциплины] 18 чел.,2021-2022,,
ОП-17,OPI-025,Технология отходов,2022-2023,,
ОП-17,OPI-026,Флотационные методы обогащения,2021-2022,,
ОП-18,OPI-001,Вспомогательные процессы обогащения,2021-2022,,
ОП-18,OPI-003,Гравитационные методы обогащения,2022-2023,,
ОП-18,OPI-006,Исследования руд на обогатимость,2023-2024 уч.год,,
ОП-18,OPI-007,Комплексная переработка полезных ископаемых,2022-2023,,
ОП-18,OPI-008,"Магнитные, электрические и специальные методы обогащения",2021-2022,,
ОП-18,OPI-010,"Опробование, контроль и автоматизация обогатительных процессов",2022-2023 Весна,,
