faculty_code,group_name,student_count_suggested,course_suggested,source_sheets,check_ok,review_comment
ИБИО,АГС-23,30,1,2023-2024 уч.год,,
ИБИО,АПГ-20,20,2,Лист1,,
ИБИО,АПГ-21,25,1,Лист1,,
ИБИО,АПГ-22,18,2,2023-2024 уч.год,,
ИБИО,АПГ-23,25,1,2023-2024 уч.год,,
ИБИО,АПМ-20,18,2,Лист1,,
ИБИО,АПМ-21,25,1,Лист1,,
ИБИО,АПМ-22,19,2,2023-2024 уч.год,,
ИБИО,АПМ-23,25,1,2023-2024 уч.год,,
ИБИО,АПН-20,24,2,Лист1,,
ИБИО,АПН-21,25,1,Лист1,,
ИБИО,АПН-22,22,2,2023-2024 уч.год,,
ИБИО,АПН-23,25,1,2023-2024 уч.год,,
ИБИО,АХ-20,19,2,Лист1,,
ИБИО,АХ-21,30,1,Лист1,,
ИБИО,АХ-22,17,2,2023-2024 уч.год,,
ИБИО,АХ-23,20,1,2023-2024 уч.год,,
ИБИО,БТБ-20,23,2,Лист1,,
ИБИО,БТБ-21,30,1,Лист1,,
ИБИО,БТБ-22,24,2,2023-2024 уч.год,,
ИБИО,БТБ-23,30,1,2023-2024 уч.год,,
ИБИО,БТС-20,22,2,Лист1,,
ИБИО,БТС-21,25,1,Лист1,,
ИБИО,БТС-22,22,2,2023-2024 уч.год,,
ИБИО,БТС-23,25,1,2023-2024 уч.год,,
ИБИО,ВД-20,25,2,Лист1,,
ИБИО,ВД-21,25,1,Лист1,,
ИБИО,ВД-22,19,2,2023-2024 уч.год,,
ИБИО,ВД-23,25,1,2023-2024 уч.год,,
ИБИО,ВС-23,15,1,2023-2024 уч.год,,
ИБИО,ГГ-20-1,22,2,Лист1,,
ИБИО,ГГ-20-2,22,2,Лист1,,
ИБИО,ГГ-21-1,25,1,Лист1,,
ИБИО,ГГ-21-2,25,1,Лист1,,
ИБИО,ГГ-22-1,22,2,2023-2024 уч.год,,
ИБИО,ГГ-22-2,22,2,2023-2024 уч.год,,
ИБИО,ГГ-23-1,25,1,2023-2024 уч.год,,
ИБИО,ГГ-23-2,25,1,2023-2024 уч.год,,
ИБИО,ГК-20-1,16,2,Лист1,,
ИБИО,ГК-20-2,16,2,Лист1,,
ИБИО,ГК-21,30,1,Лист1,,
ИБИО,ГК-22,24,2,2023-2024 уч.год,,
ИБИО,ГК-23-1,20,1,2023-2024 уч.год,,
ИБИО,ГК-23-2,20,1,2023-2024 уч.год,,
ИБИО,ГМ-20,20,2,Лист1,,
ИБИО,ГМ-21,22,1,Лист1,,
ИБИО,ГМ-22,15,2,2023-2024 уч.год,,
ИБИО,ГМ-23,22,1,2023-2024 уч.год,,
ИБИО,ГНГ-20-1,16,2,Лист1,,
ИБИО,ГНГ-20-2,16,2,Лист1,,
ИБИО,ГНГ-21,30,1,Лист1,,
ИБИО,ГНГ-22,28,2,2023-2024 уч.год|2022-2023 весна,,
ИБИО,ГНГ-23,30,1,2023-2024 уч.год,,
ИБИО,ГРП-22,20,2,2023-2024 уч.год|2022-2023 весна,,
ИБИО,ГС-20-1,21,2,Лист1,,
ИБИО,ГС-20-2,21,2,Лист1,,
ИБИО,ГС-21-1,25,1,Лист1,,
ИБИО,ГС-21-2,25,1,Лист1,,
ИБИО,ГС-22-1,24,2,2023-2024 уч.год,,
ИБИО,ГС-22-2,24,2,2023-2024 уч.год,,
ИБИО,ГС-23-1,25,1,2023-2024 уч.год,,
ИБИО,ГС-23-2,25,1,2023-2024 уч.год,,
ИБИО,ГТС-20,17,2,Лист1,,
ИБИО,ГТС-21,20,1,Лист1,,
