group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
АГС-23,OTF-002,Физика,2023-2024 уч.год,,
АПГ-20,OTF-002,Физика,Лист1,,
АПГ-21,OTF-002,Физика,Лист1,,
АПГ-22,OTF-002,Физика,2023-2024 уч.год,,
АПГ-23,OTF-002,Физика,2023-2024 уч.год,,
АПМ-20,OTF-002,Физика,Лист1,,
АПМ-21,OTF-002,Физика,Лист1,,
АПМ-22,OTF-002,Физика,2023-2024 уч.год,,
АПМ-23,OTF-002,Физика,2023-2024 уч.год,,
АПН-20,OTF-002,Физика,Лист1,,
АПН-21,OTF-002,Физика,Лист1,,
АПН-22,OTF-002,Физика,2023-2024 уч.год,,
АПН-23,OTF-002,Физика,2023-2024 уч.год,,
АХ-20,OTF-003,Физика (дополнительные главы),Лист1,,
АХ-21,OTF-002,Физика,Лист1,,
АХ-22,OTF-002,Физика,2023-2024 уч.год,,
АХ-23,OTF-002,Физика,2023-2024 уч.год,,
БТБ-20,OTF-002,Физика,Лист1,,
БТБ-21,OTF-002,Физика,Лист1,,
БТБ-22,OTF-002,Физика,2023-2024 уч.год,,
БТБ-23,OTF-002,Физика,2023-2024 уч.год,,
БТС-20,OTF-002,Физика,Лист1,,
БТС-21,OTF-002,Физика,Лист1,,
БТС-22,OTF-002,Физика,2023-2024 уч.год,,
БТС-23,OTF-002,Физика,2023-2024 уч.год,,
ВД-20,OTF-002,Физика,Лист1,,
ВД-21,OTF-002,Физика,Лист1,,
ВД-22,OTF-002,Физика,2023-2024 уч.год,,
ВД-23,OTF-002,Физика,2023-2024 уч.год,,
ВС-23,OTF-002,Физика,2023-2024 уч.год,,
ГГ-20-1,OTF-002,Физика,Лист1,,
ГГ-20-2,OTF-002,Физика,Лист1,,
ГГ-21-1,OTF-002,Физика,Лист1,,
ГГ-21-2,OTF-002,Физика,Лист1,,
ГГ-22-1,OTF-002,Физика,2023-2024 уч.год,,
ГГ-22-2,OTF-002,Физика,2023-2024 уч.год,,
ГГ-23-1,OTF-002,Физика,2023-2024 уч.год,,
ГГ-23-2,OTF-002,Физика,2023-2024 уч.год,,
ГК-20-1,OTF-002,Физика,Лист1,,
ГК-20-2,OTF-002,Физика,Лист1,,
ГК-21,OTF-002,Физика,Лист1,,
ГК-22,OTF-002,Физика,2023-2024 уч.год,,
ГК-23-1,OTF-002,Физика,2023-2024 уч.год,,
ГК-23-2,OTF-002,Физика,2023-2024 уч.год,,
ГМ-20,OTF-002,Физика,Лист1,,
ГМ-21,OTF-002,Физика,Лист1,,
ГМ-22,OTF-002,Физика,2023-2024 уч.год,,
ГМ-23,OTF-002,Физика,2023-2024 уч.год,,
ГНГ-20-1,OTF-002,Физика,Лист1,,
ГНГ-20-2,OTF-002,Физика,Лист1,,
ГНГ-21,OTF-002,Физика,Лист1,,
ГНГ-22,OTF-002,Физика,2023-2024 уч.год|2022-2023 весна,,
ГНГ-23,OTF-002,Физика,2023-2024 уч.год,,
ГРП-22,OTF-002,Физика,2023-2024 уч.год|2022-2023 весна,,
ГС-20-1,OTF-002,Физика,Лист1,,
ГС-20-2,OTF-002,Физика,Лист1,,
ГС-21-1,OTF-002,Физика,Лист1,,
ГС-21-2,OTF-002,Физика,Лист1,,
ГС-22-1,OTF-002,Физика,2023-2024 уч.год,,
ГС-22-2,OTF-002,Физика,2023-2024 уч.год,,
ГС-23-1,OTF-002,Физика,2023-2024 уч.год,,
ГС-23-2,OTF-002,Физика,2023-2024 уч.год,,
ГТС-20,OTF-002,Физика,Лист1,,
ГТС-21,OTF-002,Физика,Лист1,,
ГТС-22,OTF-002,Физика,2023-2024 уч.год,,
ГТС-23,OTF-002,Физика,2023-2024 уч.год,,
ДГ-22,OTF-002,Физика,2023-2024 уч.год|2022-2023 весна,,
ИАС-21,OTF-002,Физика,Лист1,,
ИАС-22,OTF-002,Физика,2022-2023 весна,,
ИАС-23,OTF-002,Физика,2023-2024 уч.год,,
ИГ-20-1,OTF-002,Физика,Лист1,,
ИГ-20-2,OTF-002,Физика,Лист1,,
ИГ-21-1,OTF-002,Физика,Лист1,,
ИГ-21-2,OTF-002,Физика,Лист1,,
ИГ-22-1,OTF-002,Физика,2023-2024 уч.год,,
ИГ-22-2,OTF-002,Физика,2023-2024 уч.год,,
ИГ-23-1,OTF-002,Физика,2023-2024 уч.год,,
ИГ-23-2,OTF-002,Физика,2023-2024 уч.год,,
ИЗБ-20-1,OTF-002,Физика,Лист1,,
ИЗБ-20-2,OTF-002,Физика,Лист1,,
ИЗБ-21,OTF-002,Физика,Лист1,,
ИЗБ-22-1,OTF-002,Физика,2023-2024 уч.год,,
ИЗБ-22-2,OTF-002,Физика,2023-2024 уч.год,,
ИЗБ-23-1,OTF-002,Физика,2023-2024 уч.год,,
ИЗБ-23-2,OTF-002,Физика,2023-2024 уч.год,,
ИЗС-20-1,OTF-002,Физика,Лист1,,
ИЗС-20-2,OTF-002,Физика,Лист1,,
ИЗС-21-1,OTF-002,Физика,Лист1,,
ИЗС-21-2,OTF-002,Физика,Лист1,,
ИЗС-22-1,OTF-002,Физика,2023-2024 уч.год,,
ИЗС-22-2,OTF-002,Физика,2023-2024 уч.год,,
ИЗС-23-1,OTF-002,Физика,2023-2024 уч.год,,
ИЗС-23-2,OTF-002,Физика,2023-2024 уч.год,,
ИСТ-21,OTF-002,Физика,Лист1,,
ИСТ-22,OTF-002,Физика,2022-2023 весна,,
ИСТ-23-1,OTF-002,Физика,2023-2024 уч.год,,
ИСТ-23-2,OTF-002,Физика,2023-2024 уч.год,,
ИТО-21,OTF-002,Физика,Лист1,,
ИТО-22,OTF-002,Физика,2022-2023 весна,,
ИТО-23,OTF-002,Физика,2023-2024 уч.год,,
ИТУ-20,OTF-002,Физика,Лист1,,
ИТУ-21,OTF-002,Физика,Лист1,,
ИТУ-21-1,OTF-002,Физика,2022-2023 весна,,
ИТУ-21-2,OTF-002,Физика,2022-2023 весна,,
ИТУ-22-1,OTF-002,Физика,2022-2023 весна,,
ИТУ-22-2,OTF-002,Физика,2022-2023 весна,,
ИТУ-23,OTF-002,Физика,2023-2024 уч.год,,
КРС-22,OTF-002,Физика,2023-2024 уч.год|2022-2023 весна,,
МГП-20,OTF-002,Физика,Лист1,,
МГП-21,OTF-002,Физика,Лист1,,
МГП-22,OTF-002,Физика,2023-2024 уч.год,,
МГП-23,OTF-002,Физика,2023-2024 уч.год,,
МНМ-20,OTF-002,Физика,Лист1,,
МНМ-21,OTF-002,Физика,Лист1,,
МНМ-22,OTF-002,Физика,2022-2023 весна,,
МНМ-23,OTF-002,Физика,2023-2024 уч.год,,
МО-20,OTF-002,Физика,Лист1,,
МО-21,OTF-002,Физика,Лист1,,
МО-22,OTF-002,Физика,2022-2023 весна,,
МО-23,OTF-002,Физика,2023-2024 уч.год,,
МОП-23,OTF-002,Физика,2023-2024 уч.год,,
МП-23,OTF-002,Физика,2023-2024 уч.год,,
МТ-23,OTF-002,Физика,2023-2024 уч.год,,
МЦ-20-1,OTF-002,Физика,Лист1,,
МЦ-20-2,OTF-002,Физика,Лист1,,
МЦ-21-1,OTF-002,Физика,Лист1,,
МЦ-21-2,OTF-002,Физика,Лист1,,
МЦ-22,OTF-002,Физика,2023-2024 уч.год,,
МЦ-23,OTF-002,Физика,2023-2024 уч.год,,
НБ-22,OTF-002,Физика,2022-2023 весна,,
НБ-22-1,OTF-002,Физика,2023-2024 уч.год,,
НБ-22-2,OTF-002,Физика,2023-2024 уч.год,,
НБ-23,OTF-002,Физика,2023-2024 уч.год,,
НБС-20,OTF-002,Физика,Лист1,,
НБС-21,OTF-002,Физика,Лист1,,
НБС-22,OTF-002,Физика,2023-2024 уч.год,,
НБС-23-1,OTF-002,Физика,2023-2024 уч.год,,
НБС-23-2,OTF-002,Физика,2023-2024 уч.год,,
НБС-23-3,OTF-002,Физика,2023-2024 уч.год,,
