group_name,discipline_code
ТНГ-24,NGF-001
ТНГ-24,NGF-002
ТНГ-24,NGF-003
ТНГ-24,NGF-004
ТНГ-24,NGF-005
ТНГ-24,NGF-006
ТНГ-24,NGF-007
ТНГ-24,NGF-008
ТНГ-24,NGF-009
ТНГ-24,NGF-010
ТНГ-24,NGF-011
ГРП-24,NGF-001
ГРП-24,NGF-002
ГРП-24,NGF-003
ГРП-24,NGF-004
ГРП-24,NGF-005
ГРП-24,NGF-006
ГРП-24,NGF-007
ГРП-24,NGF-008
ГРП-24,NGF-009
ГРП-24,NGF-010
ГРП-24,NGF-011
ЭХТ-24,NGF-025
ЭХТ-24,NGF-026
ЭХТ-24,NGF-027
ЭХТ-24,NGF-028
ЭХТ-24,NGF-029
ЭХТ-24,NGF-030
ЭХТ-24,NGF-031
НГС-18-2,NGF-012
НГС-18-2,NGF-013
НГС-18-2,NGF-014
НГС-18-2,NGF-015
НГС-18-2,NGF-016
НГС-18-2,NGF-017
НГС-18-2,NGF-018
НГС-18-2,NGF-019
НГС-18-2,NGF-020
НГС-18-2,NGF-021
НГС-18-2,NGF-022
НГС-18-2,NGF-023
НГС-18-2,NGF-024
