faculty_code,department_code_suggested,department_title,source,check_ok,review_comment
НГФ,БС,Кафедра бурения скважин,studlab_hint,,
НГФ,РНГМ,Кафедра разработки и эксплуатации нефтяных и газовых месторождений,studlab_hint,,
НГФ,ТХНГ,Кафедра транспорта и хранения нефти и газа,studlab_hint,,
ГФ,БП,Кафедра безопасности производств,studlab_hint,,
ГРФ,ГРМПИ,Кафедра геологии и разведки месторождений полезных ископаемых,studlab_hint,,
ГРФ,ГНГ,Кафедра геологии нефти и газа,studlab_hint,,
ГРФ,ГЕОФ,Кафедра геофизики,studlab_hint,,
ГРФ,ГИГ,Кафедра гидрогеологии и инженерной геологии,studlab_hint,,
ГРФ,ИДГ,Кафедра исторической и динамической геологии,studlab_hint,,
ГРФ,МКП,"Кафедра минералогии, кристаллографии и петрографии",studlab_hint,,
ФПМС,АТПП,Кафедра автоматизации технологических процессов и производств,studlab_hint,,
ММФ,МТХИ,Кафедра материаловедения и технологии художественных изделий,studlab_hint,,
ММФ,МАШ,Кафедра машиностроения,studlab_hint,,
ММФ,МЕТРО,"Кафедра метрологии, приборостроения и управления качеством",studlab_hint,,
ММФ,ТТПМ,Кафедра транспортно-технологических процессов и машин,studlab_hint,,
СФ,МЕХ,Кафедра механики,studlab_hint,,
ЭФ,ОЭ,Кафедра общей электротехники,studlab_hint,,
ЭФ,ТТЭ,Кафедра теплотехники и теплоэнергетики,studlab_hint,,
ЭФ,ЭС,Кафедра электронных систем,studlab_hint,,
ЭФ,ЭЭМ,Кафедра электроэнергетики и электромеханики,studlab_hint,,
