training_center_number,room_number,room_name,laboratory_studlab_id,laboratory_name,faculty_code,faculty_title,department_hint,purpose,source_url,notes
1,1101,"Учебно-научная лаборатория ""Экологического мониторинга"" горного факультета",11,"Учебно-научная лаборатория ""Экологического мониторинга""",ГФ,Горный факультет,,"определение физико-механических свойств материалов, используемых для производства локальных очистных сооружений; определение гранулометрического состава сыпучих материалов.",https://studlab.spmi.ru/11,draft from studlab
1,1102-2,"Учебно-научная лаборатория ""Экологического мониторинга"" горного факультета",11,"Учебно-научная лаборатория ""Экологического мониторинга""",ГФ,Горный факультет,,"проведение работ по моделированию очистных сооружений (аэротенк, горизонтальный отстойник); определение класса опасности отходов; подбор сорбентов для очистки стоков промышленных предприятий.",https://studlab.spmi.ru/11,draft from studlab
1,1106,"Учебно-научная лаборатория ""Экологического мониторинга"" горного факультета",11,"Учебно-научная лаборатория ""Экологического мониторинга""",ГФ,Горный факультет,,выполнение пробоподготовки для спектрального и рентгенофлуоресцентного анализов.,https://studlab.spmi.ru/11,draft from studlab
1,1107,"Учебно-научная лаборатория ""Экологического мониторинга"" горного факультета",11,"Учебно-научная лаборатория ""Экологического мониторинга""",ГФ,Горный факультет,,расчет загрязнений в программе «Эколог»; проведение работ по специальной оценке условий труда.,https://studlab.spmi.ru/11,draft from studlab
1,1112,"Учебно-научная лаборатория ""Экологического мониторинга"" горного факультета",11,"Учебно-научная лаборатория ""Экологического мониторинга""",ГФ,Горный факультет,,хранение оборудования и материалов для лабораторных исследований.,https://studlab.spmi.ru/11,draft from studlab
1,1114,"Учебно-научная лаборатория ""Экологического мониторинга"" горного факультета",11,"Учебно-научная лаборатория ""Экологического мониторинга""",ГФ,Горный факультет,,проведение работ по химическому разложению и исследованию загрязненности грунтов.,https://studlab.spmi.ru/11,draft from studlab
2,1106,"Учебная лаборатория по направлению ""Безопасность жизнедеятельности""",13,Учебная лаборатория кафедры безопасности производств,ГФ,Горный факультет,безопасности производств,"исследование параметров физических факторов производственной среды, влияющих на безопасность трудовой деятельности; оценка эффективности средств защиты от воздействия опасных и вредных производственных факторов.",https://studlab.spmi.ru/13,draft from studlab
2,1108,"Учебная лаборатория по направлению ""Аэрология горных предприятий""",13,Учебная лаборатория кафедры безопасности производств,ГФ,Горный факультет,безопасности производств,моделирование аэродинамических процессов при различных способах и режимах проветривания горных выработок и производственных объектов; исследование аэродинамических параметров вентиляционных сетей.,https://studlab.spmi.ru/13,draft from studlab
2,1116,"Учебная лаборатория по направлению ""Горноспасательное дело и безопасность производств""",13,Учебная лаборатория кафедры безопасности производств,ГФ,Горный факультет,безопасности производств,демонстрация устройства и функционирования современной техники и оборудования для ведения горноспасательных работ; демонстрация современных средств индивидуальной защиты работников.,https://studlab.spmi.ru/13,draft from studlab
2,1244,"Комплексная учебная лаборатория горного факультета ""Горное производство и безопасность""",12,"Комплексная учебная лаборатория горного факультета ""Горное производство и безопасность""",ГФ,Горный факультет,,изучение и измерение физических свойств горных пород; определение воздействий породы на буровой инструмент; обучение работе на оборудовании для взрывных работ; изучение основ электробезопасности; ознакомление с оборудованием для оценки и обеспечения безопасных условий труда в горном деле.,https://studlab.spmi.ru/12,draft from studlab
